Rank,Difficulty,Score,Name,Level
1,Torment,39528639,EmEm,85
2,Torment,39527919,莫德雷德,85
3,Torment,39525519,ARS|Meggumi,85
4,Torment,39513119,hikki,85
5,Torment,39505119,Laventina,85
6,Torment,39504559,ARS|Zeinu,85
7,Torment,39501039,GHC |daniellcl,85
8,Torment,39495359,MARVEL,85
9,Torment,39495279,Sakurako,85
10,Torment,39427759,琉紫,85
11,Torment,39424639,Intrepid,85
12,Torment,39423759,GHC | Bobbeh,85
13,Torment,39386479,不存在的大人,85
14,Torment,39375199,クロノ,85
15,Torment,39353679,Ameth,85
16,Torment,39316479,ARS|Exus,85
17,Torment,39306719,Halcyon,85
18,Torment,39301357,卷忘力來碧藍檔案||5,85
19,Torment,39296399,Andarion,85
20,Torment,39294157,Bean,85
21,Torment,39290559,YuuKaedeFans,85
22,Torment,39285519,ヒリュ,85
23,Torment,39285119,GHC | Albion,85
24,Torment,39284637,GHC |Protocua,85
25,Torment,39273919,aqua,85
26,Torment,39272559,ในลงโฮอนจัง,85
27,Torment,39271198,宵待月乃,85
28,Torment,39268078,Quartz,85
29,Torment,39262878,BlackDesert,85
30,Torment,39261918,Sylphis,85
31,Torment,39260718,Fate,85
32,Torment,39257758,KuroNeko,85
33,Torment,39255838,Wabi-sabi,85
34,Torment,39249278,ARS|Arino,85
35,Torment,39245517,CC|PSRone,85
36,Torment,39244958,Lay,???
37,Torment,39240397,LSP48,85
38,Torment,39239598,幻神夢,85
39,Torment,39237438,WPredator,85
40,Torment,39237358,NeroShiro,85
41,Torment,39228798,RB| Izuna,85
42,Torment,39206158,Miro,85
43,Torment,39204958,RealiableCh,85
44,Torment,39203838,Loistava,85
44,Insane,27641599,Quinella,85
45,Torment,39203758,ミドクニ,85
46,Torment,39198798,TSH |,???
47,Torment,39196958,Life,85
48,Torment,39173599,DY-3|NotSora,85
49,Torment,39157039,GHC |LuckyLuna,85
50,Torment,39145598,Arc,???
51,Torment,39089039,McLaren,85
52,Torment,39087919,Mist,85
53,Torment,39061679,RainHowers,85
54,Torment,39060479,|/`,85
55,Torment,39051279,Ulquiorra,85
56,Torment,39029758,Janny,85
57,Torment,39020559,Shino,85
58,Torment,39009598,FrankMeister,85
59,Torment,38989599,Loszo,85
60,Torment,38977199,Rei ,85
61,Torment,38975759,Evans,85
62,Torment,38969118,Chype,85
63,Torment,38958079,HIBIKI,85
64,Torment,38955118,Wooper,85
65,Torment,38954319,Paidjo,85
66,Torment,38950479,ARSILest,85
67,Torment,38942239,Zenorayya,85
68,Torment,38939119,Link,85
69,Torment,38931039,Lemon,85
70,Torment,38918559,Nanotel,85
71,Torment,38897599,SpyDemon,85
72,Torment,38889839,Toshi,85
73,Torment,38878638,iansky,85
74,Torment,38875759,QtBoy,85
75,Torment,38871999,ChaosPlayerX,85
76,Torment,38862719,โรห,85
77,Torment,38859519,GHC |Irissu,85
78,Torment,38858399,Gokoururi,85
79,Torment,38853999,ARSI Faza,85
80,Torment,38836719,ARSIrey,85
81,Torment,38834479,Halorial,85
82,Torment,38834399,Netor,85
83,Torment,38826078,Arsh,85
84,Torment,38817359,rzkadi,85
85,Torment,38815999,Ahegao,85
86,Torment,38809759,Exee,85
87,Torment,38806799,ChieN,85
88,Torment,38801998,FuThisGame,85
89,Torment,38799199,GHC | Makise,85
90,Torment,38795519,老余,85
91,Torment,38792799,Lt Cerberus,85
92,Torment,38786319,Causew1Fan,85
93,Torment,38785118,7=,85
94,Torment,38784639,ARSIFueeru,85
95,Torment,38779358,Anothic,85
96,Torment,38778719,GHCIrYuma,85
97,Torment,38774879,AsuraNyan354,85
98,Torment,38767197,mint,85
99,Torment,38748879,ccl9,85
100,Torment,38741679,GHC |Kaslana,85
101,Torment,38737119,DeepDark,85
102,Torment,38732317,ARS|7Midway ,85
103,Torment,38729519,Chars,85
104,Torment,38728959,Andomon,85
105,Torment,38727677,クロ,85
106,Torment,38727359,RB| CrowN,85
107,Torment,38726719,月,85
108,Torment,38708239,BIOODRAIN,85
109,Torment,38705916,Orbit,85
110,Torment,38701037,DY-IlT-RA,85
111,Torment,38696559,Kindross,85
112,Torment,38695356,Adjudz,85
113,Torment,38688718,Shikuri,85
114,Torment,38686078,SunpeSunna,85
115,Torment,38677358,LuckyAya,85
116,Torment,38666478,???,85
117,Torment,38664798,Luna,85
118,Torment,38664158,Temere,85
119,Torment,38663198,GHC |Ezreal,85
120,Torment,38660318,Styuwd,85
121,Torment,38658958,exeq,85
122,Torment,38655918,クロ,85
123,Torment,38655517,TSH YuuKaedex,85
124,Torment,38654238,Hyro,85
