Rank,Difficulty,Score,Name,Level
1,Torment,38755038,ARS|Zeinu,85
2,Torment,38752478,???,85
3,Torment,38750638,莫德雷德,85
4,Torment,38715517,琉紫,85
5,Torment,38699997,Fate,85
6,Torment,38680237,ARSINANA,85
7,Torment,38673278,GHC |daniellcl,85
8,Torment,38644719,EmEm,85
9,Torment,38643278,hikki,85
10,Torment,38619358,GHC | Bobbeh,85
11,Torment,38603117,Seshiru,85
12,Torment,38590078,Chype,85
13,Torment,38545278,クロノ,85
14,Torment,38434957,Rio |My |Wife,85
15,Torment,38419838,MARVEL,85
16,Torment,38405677,Halcyon,85
17,Torment,38390318,Miro,85
18,Torment,38380959,Quartz,85
19,Torment,38378398,QtBoy,85
20,Torment,38370077,Reizz,85
21,Torment,38343117,Intrepid,85
22,Torment,38285197,AiruYukiko,85
23,Torment,38282078,LSP48,85
24,Torment,38242718,不存在的大人,85
25,Torment,38231917,木天蓼00,85
26,Torment,38194236,Arc,85
27,Torment,38159917,RB| Izuna,85
28,Torment,38133758,ChaosPlayerX,85
29,Torment,38100958,WPredator,85
30,Torment,38098477,Lina,85
31,Torment,38090238,ARS Tokiku,85
32,Torment,38077037,GHC | Albion,85
33,Torment,38062876,ARSIDepp,85
34,Torment,38049517,ARSIExus,85
35,Torment,38042956,ARSIKus,85
36,Torment,38026957,HIBIKI,85
37,Torment,37971519,Ahegao,85
38,Torment,37958238,ARSIRins,85
39,Torment,37943518,ARS|Meggumi,85
40,Torment,37899438,Sora,85
41,Torment,37877358,ミドクニ,85
42,Torment,37828958,Gokoururi,85
43,Torment,37823358,KuroNeko,85
44,Torment,37780156,Orbit,85
45,Torment,37772317,Choco,85
46,Torment,37743677,ARsIrey,???
47,Torment,37716477,cclg,85
48,Torment,37704475,ARSIZetsUwU,85
49,Torment,37686878,RunaMia,85
50,Torment,37666956,ARS PowPow,85
51,Torment,37658958,AYuzuru,85
52,Torment,37618477,クロ,85
53,Torment,37565678,GHC|Qoya,85
54,Torment,37556557,GHC |Kaslana,85
55,Torment,37542398,Irissu,85
