Rank,Difficulty,Score,Name,Level
1,Torment,39370639,???,85
2,Torment,39351599,hikki,85
3,Torment,39314159,莫德雷德,85
4,Torment,39291677,山泥若,85
5,Torment,39276397,ARSIFaza,85
6,Torment,39274399,EmEm,85
7,Torment,39270637,MARVEL,85
8,Torment,39255437,琉紫,85
9,Torment,39249117,Nana,85
10,Torment,39248958,ARSIrey,85
11,Torment,39241357,RunaMia,85
12,Torment,39220637,クロノ,85
13,Torment,39216637,GHC | daniellcl,85
14,Torment,39207278,不存在的大人,85
15,Torment,39205437,ARSIKus,85
16,Torment,39199678,Arc,???
17,Torment,39187997,ARS| Ace,85
18,Torment,39177597,ARS| Thio,85
19,Torment,39171599,丁真珍珠,85
20,Torment,39168239,ARS|Zeinu,85
21,Torment,39163759,ARS|Nemura,85
22,Torment,39163037,ARS IExus,85
23,Torment,39149197,incstbst,85
24,Torment,39148637,AZAZELIFan,85
25,Torment,39131998,ARS| Kidd,85
26,Torment,39129118,makise,85
27,Torment,39124958,LSP48,85
28,Torment,39122958,CRONOSQ,85
29,Torment,39117839,GHC IpeepoSad,85
30,Torment,39116078,ARS|7Midway ,85
31,Torment,39115359,Fate,85
32,Torment,39112398,Orbit,85
33,Torment,39110479,Blu,85
34,Torment,39109438,ร|นน,85
35,Torment,39106879,Chype,85
36,Torment,39105599,Gokoururi,85
37,Torment,39105519,AiruYukiko,85
38,Torment,39082559,ARSIcrenian,85
39,Torment,39081199,WPredator,85
40,Torment,39079679,ARS| Arino2824,85
41,Torment,38994559,Ekko,85
42,Torment,38970879,ARS|Meggumi,85
43,Torment,38954079,ARS|Eve,85
44,Torment,38920799,Sylphis,85
45,Torment,38916079,Hyro,85
46,Torment,38894159,Causew1Fan,85
47,Torment,38893199,ARS|Layt,85
48,Torment,38888879,Halcyon,85
49,Torment,38882479,Princezz,85
50,Torment,38866559,Link,85
51,Torment,38849518,McLaren,85
52,Torment,38848319,宵待月乃,85
53,Torment,38847359,KuroNeko,85
54,Torment,38844798,mythsama,85
55,Torment,38834479,Tsukiko-chan,85
56,Torment,38826799,Arsh,85
57,Torment,38819359,Wooper,85
58,Torment,38819279,ARSILest,85
59,Torment,38815839,Quartz,85
60,Torment,38807999,ARS| ZedoX,85
61,Torment,38785119,Intrepid,85
62,Torment,38781519,CC| Godji,85
63,Torment,38777359,DY-Ilxtoration,85
64,Torment,38770637,SHENANIGANS,85
65,Torment,38768879,HYH Take,85
66,Torment,38762159,ARS|PowPow,85
67,Torment,38752159,Mistake,85
68,Torment,38745199,dale,85
69,Torment,38743119,เทพเส,85
70,Torment,38742159,Lemon,85
71,Torment,38740959,Lina,85
72,Torment,38737277,LuckyBSTRD,85
73,Torment,38733279,クロ,85
74,Torment,38730637,Shii,85
75,Torment,38728079,RylBisaTmtLagi,85
76,Torment,38723759,ARSIWalang,85
77,Torment,38718559,Ahegao,85
78,Torment,38711439,EluCiDaTol2,85
79,Torment,38710717,Treble,85
80,Torment,38702319,Vy,85
81,Torment,38701839,ooferdoggo,85
82,Torment,38694958,Irissu,85
83,Torment,38693678,Teio,85
84,Torment,38692078,richie,85
85,Torment,38688078,Seshiru,85
86,Torment,38687118,Rexles,85
87,Torment,38685918,GHC | Albion,85
88,Torment,38684958,GHC | Kaslana,85
89,Torment,38681758,Miro,85
90,Torment,38672958,ARS|WakamoSan,85
91,Torment,38672878,Lay,85
92,Torment,38672238,หมั่นโถว,85
93,Torment,38671678,Ulquiorra,85
94,Torment,38666158,幻神夢,85
