Rank,Difficulty,Score,Name,Level
1,Torment,39372398,Thanks,85
2,Torment,39364158,notmarvel,85
3,Torment,39361278,琉紫,85
4,Torment,39344957,ARSIZeinu,85
5,Torment,39344477,hikki,85
6,Torment,39330397,莫德雷德,85
7,Torment,39308397,ARS|Layt,85
8,Torment,39306397,GHC |daniellcl,85
9,Torment,39294637,ARS|Meggumi,85
10,Torment,39290637,不存在的大人,85
11,Torment,39283437,Link,85
12,Torment,39270477,Fate,85
13,Torment,39265757,Nearl,85
14,Torment,39258557,Seshiru,85
15,Torment,39257037,ARS|Nemura,85
16,Torment,39256877,ARSIsnek,85
17,Torment,39256317,ARSIrey,85
18,Torment,39246797,默默,85
19,Torment,39239997,クロノ,85
20,Torment,39237357,Rei ,85
21,Torment,39231917,เทพเส,85
22,Torment,39231517,ARS PowPow,85
23,Torment,39223357,ARS|Rins,85
24,Torment,39218637,ARS |Exus,85
25,Torment,39214957,白白子,85
26,Torment,39213597,ARS|7Midway ,85
27,Torment,39213278,LSP48,85
28,Torment,39209757,ARS |Nifty,85
29,Torment,39205038,Paidjo,85
30,Torment,39201117,Emem,85
31,Torment,39199997,ARSILest,85
32,Torment,39198557,ARS|Kus,85
33,Torment,39196797,ARS|Refourdeus,85
34,Torment,39187677,Orbit,85
35,Torment,39185117,Chiisana,85
36,Torment,39184798,GHC |Hilda,85
37,Torment,39178637,Gokoururi,85
38,Torment,39174397,AiruYukiko,85
39,Torment,39161358,Quartz,85
40,Torment,39157037,ARSI Yuu,85
41,Torment,39148077,NS-Fiki,85
42,Torment,39146077,CRONOSQ,85
43,Torment,39145,ARS|Kidd,???
44,Torment,39144317,Tanin,85
45,Torment,39142557,ARS| Thio,85
46,Torment,39142397,โรห1 7=-+,85
47,Torment,39140957,ChieN,85
48,Torment,39137117,ARS|Eve,85
49,Torment,39136318,Intrepid,85
50,Torment,39135677,ARS Doyle,85
51,Torment,39131757,EN1IMA,85
52,Torment,39131358,Ahegao,85
53,Torment,39129278,Halcyon,85
54,Torment,39124077,GHC |Bobbeh,85
55,Torment,39122877,ARSluRyaa,85
56,Torment,39120318,QtBoy,85
57,Torment,39117597,ARS|RikuhaAru ,85
58,Torment,39116798,Ekko,85
59,Torment,39115437,DY-IAiMie,85
60,Torment,39111837,木天蓼0 0,85
61,Torment,39101837,宵待月乃,85
62,Torment,39095598,RB| Sinuszas,85
63,Torment,39094238,ARSIkuro,85
64,Torment,39091518,ARSIWalang,85
65,Torment,39090798,chirongoat,85
66,Torment,39086317,GHCIsylphis,85
67,Torment,39077518,Asahi,85
68,Torment,39077358,incstbst,85
69,Torment,39077198,ARS|Dappa,85
70,Torment,39076958,天満八純,85
71,Torment,39074958,GHcIh,85
72,Torment,39074317,Ulquiorra,85
73,Torment,39070078,Yown,85
74,Torment,39069038,WPredator,85
75,Torment,39067517,ARSIWakamoSan,85
76,Torment,39055757,Lina,85
77,Torment,39053278,DY-6 9IGODHE,85
78,Torment,39049997,MARTINO,85
79,Torment,39048717,GHC |Albion,85
80,Torment,39046157,Hajime,85
81,Torment,39045518,ARS Mizary,85
82,Torment,39039678,ARSIZetsUwU,85
83,Torment,39039677,GameAstroel,85
84,Torment,39035917,SHENANIGANS,85
85,Torment,39034318,ARSIcrenian,85
86,Torment,39033678,7=,85
87,Torment,39033037,mesongroymai,85
88,Torment,39031438,T-RA,85
89,Torment,39029597,SHIROZE,85
90,Torment,39016958,ARSIElma,85
91,Torment,39007439,Serion,85
92,Torment,39004957,neko,85
93,Torment,38997997,Eiezok,85
94,Torment,38978957,GHC Ezkir,85
95,Torment,38975597,Hyro,85
96,Torment,38972799,Fawx,85
97,Torment,38966397,ARS|Ryft,85
98,Torment,38961759,Tsukiko-chan,85
99,Torment,38961117,peepoSad,85
100,Torment,38955679,jqjqhqh,85
101,Torment,38955358,Ivantoh,85
102,Torment,38947677,Lay,???
103,Torment,38925198,Lp,85
104,Torment,38909437,디19,85
105,Torment,38902078,Seayer,85
106,Torment,38899199,GHC |Lucky+Luna,85
107,Torment,38896798,ARS|Walter,85
108,Torment,38872717,Life,85
109,Torment,38853757,afez,85
110,Torment,38853279,seia,85
111,Torment,38851519,Ranzy,???
112,Torment,38846399,Tia,85
113,Torment,38845276,Devilfz,85
114,Torment,38844316,Blu,85
115,Torment,38840316,McLaren ~,85
116,Torment,38833436,ChocoMint,85
117,Torment,38832639,Cyberdrake,85
118,Torment,38832638,KuroNeko,85
119,Torment,38819198,GHC | Kaslana,85
120,Torment,38815439,Loszo,85
121,Torment,38810558,DGHypeRZ,85
122,Torment,38803198,RunaMia,85
123,Torment,38798319,虹羽,85
124,Torment,38782636,SunpeSunna,85
125,Torment,38782238,Slnwza,85
126,Torment,38780638,Chype,85
127,Torment,38775596,YCGOH,85
128,Torment,38773839,Sora,85
129,Torment,38772158,Luna,85
130,Torment,38769999,หางนุมฟู,85
131,Torment,38768559,yuyi,85
132,Torment,38763356,AsuraNyan354,85
133,Torment,38760797,DY,85
134,Torment,38751036,Mist,85
135,Torment,38750797,CCITORAKAMI,85
136,Torment,38746557,心5-記死猫,85
137,Torment,38742716,Treble,85
138,Torment,38740797,Lt Cerberus,85
139,Torment,38739116,FrankMeister,85
140,Torment,38738957,NS-Dian911,85
141,Torment,38737757,AYuzuru,85
142,Torment,38736399,EluCiDaTol2,85
143,Torment,38731519,Ribbon,85
144,Torment,38721836,Arsh,85
145,Torment,38719277,Kenjiro,85
146,Torment,38718637,Shii,85
147,Torment,38717196,Ax,85
148,Torment,38713037,saakurayt,85
149,Torment,38712077,DY-Ilxtoration,85
150,Torment,38706157,ARSIEpinefrin,85
151,Torment,38697119,すいちゃんは今日もかわ,85
152,Torment,38696156,DY-IlMiku,85
153,Torment,38695438,SpyDemon,85
154,Torment,38695437,ooferdoggo,85
155,Torment,38689357,Anri,85
156,Torment,38680717,Kudryavka,85
157,Torment,38670078,Cat,85
158,Torment,38668397,ARSlaqua,85
159,Torment,38668238,GRD GodZee,85
160,Torment,38660156,47,85
161,Torment,38659518,CCITakeng,85
162,Torment,38655277,Chlorin,85
163,Torment,38652878,ヒガシダ,85
164,Torment,38648238,ไม่บอก,85
165,Torment,38648157,3uphonium,85
166,Torment,38648078,Natchas,85
167,Torment,38642718,PraiPc,85
168,Torment,38641037,DY-1|,85
169,Torment,38639837,Zenorayya,85
170,Torment,38639116,ミドクニ,85
171,Torment,38638158,顧伯云,85
172,Torment,38635118,Toshi,85
173,Torment,38633838,Exee,85
174,Torment,38630398,Halorial,85
175,Torment,38629676,Zeshia,85
176,Torment,38623838,tamaki,85
177,Torment,38623677,tiggs,85
178,Torment,38622558,Hasad,85
179,Torment,38622238,Mishi,85
180,Torment,38620238,|AKSpector,85
181,Torment,38619997,Bronya,85
182,Torment,38614478,Kouun,85
183,Torment,38613757,Fiani,85
184,Torment,38609838,Scarlet,85
185,Torment,38608157,DY-3|Sakana,85
186,Torment,38606638,DY-2IVaphista,85
187,Torment,38598797,TB-Otto,85
188,Torment,38593358,ActRaiAiSus,85
189,Torment,38591917,Karezxi,85
190,Torment,38590797,Raion,85
191,Torment,38590477,Hanamichi,85
192,Torment,38587038,DY-1 Snow,85
193,Torment,38586398,NS|Ryl,85
194,Torment,38568957,Roomi,85
195,Torment,38566158,CC|Ayane,85
196,Torment,385628,Choco,???
197,Torment,38559357,GRD DanSi,85
198,Torment,38553278,Adjudz,85
199,Torment,38552717,GRD Castonzo,85
200,Torment,38552477,ChaosPlayerX,85
201,Torment,38546317,JE,85
202,Torment,38543838,หมั่นโถว,85
203,Torment,38539198,Halp,85
204,Torment,38538637,VincentXIII,85
205,Torment,38536318,Crowe,85
206,Torment,38532957,Vaxtein,85
207,Torment,38527038,Kevin,85
208,Torment,38525757,INDM-Rembol,85
209,Torment,38513198,Mattio,85
210,Torment,38498797,mint,85
211,Torment,38491916,ヒリュ,85
212,Torment,38481918,White,85
213,Torment,38473117,Ramda,85
214,Torment,38469276,Chiruno,85
215,Torment,38464157,Valkstyrm,85
216,Torment,38463998,Pepega,85
217,Torment,38452318,Kindross,85
218,Torment,38451197,Ryn+,85
219,Torment,38447357,Sylvette,85
220,Torment,38436317,Temere,85
221,Torment,38435277,Origami,85
222,Torment,38429836,Xestia,85
223,Torment,38428078,richie,85
224,Torment,38427677,vanitas,85
225,Torment,38422477,あすみ,85
226,Torment,38407998,คณเกระตายลีดา,85
227,Torment,38405597,Walpurgis,85
228,Torment,38397277,Neru,85
229,Torment,38393758,ARS| Risu,85
230,Torment,38387598,SwiftKey,85
231,Torment,38378477,Enra,85
232,Torment,38374878,蛋炒皈屯體別領郵箱,85
233,Torment,38366638,pootpoot,85
234,Torment,38343598,Haise,85
235,Torment,38326397,Tstz,85
236,Torment,38317597,HZO| MiNus,85
237,Torment,38277758,Chars,85
238,Torment,38276637,FujiApples,85
239,Torment,38261599,Lee,85
240,Torment,38237679,VLEKNPA9,85
241,Torment,38229116,GHCImq,85
242,Torment,38192159,rika,85
243,Torment,38169437,มายเอาแครอท,85
244,Torment,38147276,Draa,85
245,Torment,38144477,yiyi,???
246,Torment,38136157,RealiableCh,85
247,Torment,38126157,Salina,85
248,Torment,38042556,Makicola,85
249,Torment,37989436,Slygand,85
250,Torment,37978236,Oneliner,85
251,Torment,37887837,???,85
252,Torment,37869358,haifh,85
253,Insane,27660543,散華禮彌,85
254,Insane,27657343,Lunacia,85
255,Insane,27654783,ARSIAce,???
256,Insane,27654719,Solus,85
257,Insane,27654207,Yumi,85
258,Insane,27653503,ManILoveKoseki,85
259,Insane,27653055,南娜,85
260,Insane,27652927,GRY,85
261,Insane,27650367,neurosama,85
262,Insane,27649663,Stop,???
263,Insane,27648319,Libeaus,85
264,Insane,27647167,ARS| Fueeru,85
265,Insane,27645119,Nyx-Hexagon,85
266,Insane,27644863,Empty,85
267,Insane,27644863,FuThisGame,85
268,Insane,27644671,โฮอนจัง,???
269,Insane,27644543,RefreshList,85
270,Insane,27644543,ARS | DedekPlana,85
271,Insane,27644543,Bocil,85
272,Insane,27644543,Agent47,85
273,Insane,27644479,fr2t9mr,85
274,Insane,27644351,โรห,85
275,Insane,27644351,ARS| Yorita,85
276,Insane,27644095,RexXxzY ID,85
277,Insane,27643903,HanifH,85
278,Insane,27643583,THA HA HA HA ,85
279,Insane,27643455,EG,85
280,Insane,27643199,Peljanuardo16,85
281,Insane,27642879,Waffles,85
282,Insane,27642495,Kuzyph,85
283,Insane,27642495,PelIkmal,85
