Rank,Difficulty,Score,Name,Level
1,Torment,38878559,ARSIZeinu,85
2,Torment,38862319,莫德雷德,85
3,Torment,38858079,AiruYukiko,85
4,Torment,38830959,MARVEL,85
5,Torment,38798399,琉紫,85
6,Torment,38762159,AttackMorePls,85
7,Torment,38760799,不存在的大人,85
8,Torment,38744399,Fate,85
9,Torment,38704959,若,85
10,Torment,38679358,Emem,85
11,Torment,38674158,ARSI,85
12,Torment,38658558,ARS|Meggumi,85
13,Torment,38657358,RunaMia,85
14,Torment,38603838,|AKSpector,85
15,Torment,38594958,ARSILest,85
16,Torment,38585998,Paidjo,85
17,Torment,38575518,Orbit,85
18,Torment,38566638,ARS |Exus,85
19,Torment,38561678,ARS|Mizary,85
20,Torment,38554958,Nearl,85
21,Torment,38531357,クロノ,85
22,Torment,38519118,丁真珍珠,85
23,Torment,38514558,incstbst,85
24,Torment,38512798,ARS|Nemura,85
25,Torment,38481358,Gokoururi,85
26,Torment,38463118,ARS|PowPow,85
27,Torment,38461358,Ekko,85
28,Torment,38450798,ARSIHoshinyo,85
29,Torment,38448318,默默,85
30,Torment,38443758,ARS|Luckyn t,85
31,Torment,38425599,โรห1 บ,85
32,Torment,38423598,Halcyon,85
33,Torment,38422318,ARS|Rins,85
34,Torment,38418238,DeepDark,85
35,Torment,38401759,Rei {,85
36,Torment,38396479,GHC |Bobbeh,85
37,Torment,38396078,ARS| Ace,85
38,Torment,38395998,ARSIFaza,85
39,Torment,38395438,GHC |Hilda,85
40,Torment,38393918,ChieN,85
41,Torment,38391838,8น,85
42,Torment,38383198,Temere,85
43,Torment,38383038,peepoSad,85
44,Torment,38367758,Lina,85
45,Torment,38361598,ARSluRyaa ,85
46,Torment,38345918,ARSIcrenian,85
47,Torment,38303598,WPredator,85
48,Torment,38301518,ARSIkuro,85
49,Torment,38297757,ARSINANA,85
50,Torment,38289918,QtBoy,85
51,Torment,38277119,Yown,85
52,Torment,38264396,디19,85
53,Torment,38251278,Asahi,85
54,Torment,38247438,Quartz,85
55,Torment,38238719,Link,85
56,Torment,38222878,Arsh,85
57,Torment,38222716,CC|Godji,85
58,Torment,38221278,McLaren~,85
59,Torment,38194397,ARSILayt,85
60,Torment,38191199,爰而絲,85
61,Torment,38177117,LSP48,85
62,Torment,38169439,ENI9MA,85
63,Torment,38159757,Wooper,85
64,Torment,38156557,modori,85
65,Torment,38152317,afez,85
66,Torment,38142877,ミドクニ,85
67,Torment,38141116,ChocoMint,85
68,Torment,38138477,Fawx,85
69,Torment,38133676,DY-4|SuEit,85
70,Torment,38133597,Crowe,85
71,Torment,38117997,Heltares,85
72,Torment,38113518,Fureru,85
73,Torment,38097118,GRD Castonzo,85
74,Torment,38091758,ヒリュ,85
75,Torment,38083278,Okarin,85
76,Torment,38070318,Intrepid,85
77,Torment,38068158,Seshiru,85
78,Torment,38061197,Sora,85
79,Torment,38060398,Protagonist,85
80,Torment,38058958,ARS|7Midway ,85
81,Torment,38056398,GHC |Irissu,85
82,Torment,38055278,ChaosPlayerX,85
83,Torment,38053197,메소플도토리,85
84,Torment,38052477,Adjudz,85
85,Torment,38050238,Kevin,85
86,Torment,38048718,Slnwza,85
87,Torment,38046078,SkripsiSayang,85
88,Torment,38043197,jqjghqh,85
89,Torment,38037278,Rynt,85
90,Torment,38028238,クロ,85
91,Torment,38023518,木天蓼00,85
92,Torment,38021518,あすみ,85
93,Torment,38009838,rp,85
