Rank,Difficulty,Score,Name,Level
1,Torment,39548479,AttackMorePls,85
2,Torment,39538479,莫德雷德,85
3,Torment,39527838,ARSIZeinu,85
4,Torment,39527358,MARVEL,85
5,Torment,39518399,hikki,85
6,Torment,39515279,ARS|Nifty,85
7,Torment,39510639,GHC | daniellcl,85
8,Torment,39498958,琉紫,85
9,Torment,39496319,EmEm,85
10,Torment,39493918,ARSIMeggumi,85
11,Torment,39484559,Feath,85
12,Torment,39477598,ARSILayt,85
13,Torment,39455839,Tsukiko-chan,85
14,Torment,39453439,ARSlrey,85
15,Torment,39451999,Fate,85
16,Torment,39436559,ARS| Fueeru,85
17,Torment,39423838,NANA,85
18,Torment,39409759,ARS|7Midwayx,85
19,Torment,39395519,黙黙,85
20,Torment,39391119,Nearl,85
21,Torment,39378958,Enra,85
22,Torment,39370478,Link,85
23,Torment,39368158,AiruYukiko,85
24,Torment,39350719,ARSIZetsUwU,85
25,Torment,39347439,ミドクニ,85
26,Torment,39344399,DeepDark,85
27,Torment,39344159,ARSIEve,85
28,Torment,39343199,Orbit,85
29,Torment,39336239,木天蓼00,85
30,Torment,39335519,Blu,85
31,Torment,39335359,ARS|Kuro,85
32,Torment,39328239,ARS |Mizary,85
33,Torment,39325279,クロ,85
34,Torment,39324799,ooferdoggo,85
35,Torment,39323917,Yown,85
36,Torment,39322879,すいちゃんは今日もかわ,85
37,Torment,39321677,ARSINemura,85
38,Torment,39318797,Sora,85
39,Torment,39318797,ARS| Faza,85
40,Torment,39315279,ARSISSRBJLJ,85
41,Torment,39313199,丁真珍珠,85
42,Torment,39311679,ARSIsnek,85
43,Torment,39308959,ARS|Yuu,85
44,Torment,39307279,ARS|Dappa,85
45,Torment,39304719,RunaMia,85
46,Torment,39298239,ARS| DekPlanav,85
47,Torment,39295119,クロ,85
48,Torment,39294239,ARS|Doyle,85
49,Torment,39294237,ARSIWakamoSan,85
50,Torment,39291999,ARSlaqua,85
51,Torment,39290719,richie,85
52,Torment,39288319,Life,85
53,Torment,39285517,FuThisGame,85
54,Torment,39281279,Lt Cerberus,85
55,Torment,39277279,GHCIKaslana,85
56,Torment,39275839,WPredator,85
57,Torment,39270157,ARS|Ryft,85
58,Torment,39261038,Gokoururi,85
59,Torment,39260638,DY-3 Neko,85
60,Torment,39260397,Ekko,85
61,Torment,39260238,Fuji,85
62,Torment,39258797,Solus,85
63,Torment,39258158,QtBoy,85
64,Torment,39256637,天満八純,85
65,Torment,39256318,Fiani,85
66,Torment,39251597,DangerDaring,85
67,Torment,39248478,ARS| ZedoX,85
68,Torment,39245518,Quartz,85
69,Torment,39245438,リエル,85
70,Torment,39240958,ARS|PowPow,85
71,Torment,39238878,ARS|Rins,85
72,Torment,39237037,Seshiru,85
73,Torment,39235998,jorlands,85
74,Torment,39233038,ARSILest,85
75,Torment,39231278,ARS Refourdeus,85
76,Torment,39231197,Halcyon,85
77,Torment,39230318,心5-記死猫,85
78,Torment,39229998,NS|Fiki,85
79,Torment,39228957,NatchaSj,85
80,Torment,39227838,GHCIIrissu,85
81,Torment,39222398,Mehiru,85
82,Torment,39221598,DY-1 Harukii,85
83,Torment,39219838,Empty,85
84,Torment,39217678,fr2t9mr,85
85,Torment,39215917,FrankMeister,85
86,Torment,39214878,Zenorayya,85
87,Torment,39213838,Arsh,85
88,Torment,39212878,Alice,85
89,Torment,39210638,ARS Thio,85
90,Torment,39210638,TSH Bronya,85
91,Torment,39208238,ARS| Ameth,85
92,Torment,39206957,LSP48,85
93,Torment,39206318,Mist,85
94,Torment,39205518,Stop,???
95,Torment,39203598,Wooper,85
96,Torment,39203118,Peljanuardo16,85
97,Torment,39202878,ChaosPlayerX,85
98,Torment,39202398,DY-1Uto-chan,85
99,Torment,39201518,クロノ,85
100,Torment,39200957,D Y,85
101,Torment,39200957,Bobbeh,85
102,Torment,39193518,HYH Shikuri,85
103,Torment,39192638,CRONOSQ,85
104,Torment,39192398,ARS| YuuKaede,85
105,Torment,39191598,Reizz,85
106,Torment,39188958,GHC | Albion,85
107,Torment,39187838,ARSluryaa,85
108,Torment,39185437,Fawx,85
109,Torment,39183758,Shelter,85
110,Torment,39183678,Ruby,85
111,Torment,39183518,GHCILuckyLuna,85
112,Torment,39182718,ARS| Depp,85
113,Torment,39180478,peepoSad,85
114,Torment,39180158,クロ,85
115,Torment,39174878,Maximoff,85
116,Torment,39174238,Sylphis,85
117,Torment,39173598,DYO,85
118,Torment,39170638,Momo,85
119,Torment,39169278,Korath,85
120,Torment,39163918,DY-IIT-RA,85
121,Torment,39159918,GHCIH,85
122,Torment,39159838,sakuragimizuha,85
123,Torment,39159038,Aqila,85
124,Torment,39156238,クロ,85
125,Torment,39155918,토레,85
126,Torment,39147118,มายเอาแครอท,85
127,Torment,39144958,Cyberdrake,85
128,Torment,39140318,YuuhiEnd,85
129,Torment,39139198,Red,85
130,Torment,39137678,DY-6|Myname,85
131,Torment,39136557,Ahegao,85
132,Torment,39136238,CClGoya,85
133,Torment,39135838,Ilenn,85
134,Torment,39135438,Berg,???
135,Torment,39135278,DY-1,85
136,Torment,39132718,JokJok,85
137,Torment,39131918,Ulquiorra,85
138,Torment,39130317,Paidjo,85
139,Torment,39128958,디19,85
140,Torment,39128718,Origami,85
141,Torment,39123198,TY e sMy Da rkj,85
142,Torment,39122558,Choco,85
143,Torment,39116238,TSHJ HaseYure,85
144,Torment,39113838,YCGOH,85
145,Torment,39113598,FooM,85
146,Torment,39112398,rain,85
147,Torment,39112238,SHENANIGANS,85
148,Torment,39111278,SHIROZE,85
149,Torment,39109838,Serion,85
150,Torment,39107678,incstbst,85
151,Torment,39106878,Ipey,85
152,Torment,39106798,mesongroymai,85
153,Torment,39102878,DOC,85
154,Torment,39101998,HypeRZ,85
155,Torment,39100798,FEE IHaruki,85
156,Torment,39100158,afez,85
157,Torment,39098958,Ranzy,85
158,Torment,39096158,Anothic,85
159,Torment,39095278,Fureru,85
160,Torment,39095038,Treble,85
161,Torment,39094958,tamaki,85
162,Torment,39093358,Kyatto,85
163,Torment,39092158,Kian,85
164,Torment,39091838,ARS|Walang,85
165,Torment,39090398,PSYQUI,85
166,Torment,39087918,DinoDonut,85
167,Torment,39087758,ヒリュ,85
168,Torment,39086878,クロ,85
169,Torment,39086078,Punyted,85
170,Torment,39085038,HYH Pejay,85
171,Torment,39084718,tiggs,85
172,Torment,39084638,Hyro,85
173,Torment,39084558,GRY,85
174,Torment,39084078,Labeeb,85
175,Torment,39083438,GRD nuIL,85
176,Torment,39082478,LulumOreo,85
177,Torment,39081117,โรห,85
178,Torment,39080958,ARS|Kidd,85
179,Torment,39079758,ENI9MA,85
180,Torment,39079358,Andomon,85
181,Torment,39078318,Slnwza,85
182,Torment,39076398,ARS| Arino,85
183,Torment,39075518,AYuzuru,85
184,Torment,39075037,Walpurgis,85
185,Torment,39074798,Rioko,85
186,Torment,39074318,Vega039,85
187,Torment,39073758,???,85
188,Torment,39071998,Okarin,85
189,Torment,39071038,GHclmq,85
190,Torment,39070558,Scarlet,85
191,Torment,39066078,เทพเส,85
192,Torment,39064238,SpyDemon,85
193,Torment,39064238,Narukana,85
194,Torment,39063678,kAne3,85
195,Torment,39061118,McLaren~,85
196,Torment,39060238,ARSIEpinefrin,85
