Rank,Difficulty,Score,Name,Level
1,Torment,39810158,Lint7z,85
2,Torment,39809518,ARS| 7Midway ,85
3,Torment,39808478,マーベル,85
4,Torment,39808318,琉紫,85
5,Torment,39808078,ARS|Nemurav2,85
6,Torment,39807518,hikki,85
7,Torment,39806478,Ax,85
8,Torment,39806398,莫德雷德,85
9,Torment,39805838,mesongroimai,85
10,Torment,39804958,saakurayt,85
11,Torment,39804638,GHC | daniellcl,85
12,Torment,39804398,伊地知虹夏,85
13,Torment,39802878,|Intrepid,85
14,Torment,39802398,HYH |Alice,85
15,Torment,39802238,ARS|ZetsUwU,85
16,Torment,39800558,CCIPha,85
17,Torment,39798798,Fruizi,85
18,Torment,39794798,Spectrals,85
19,Torment,39794558,GhcIh,85
20,Torment,39794558,ARS|Dappa,85
21,Torment,39791038,CC|Chikikung,85
22,Torment,39790158,Wabi-sabi,85
23,Torment,39789278,eguze,85
24,Torment,39788398,Kelfran,85
25,Torment,39787918,PHnaschkatze,85
26,Torment,39786798,クロ,85
27,Torment,39786318,EmEm,85
28,Torment,39786158,被格里果唱詩班論劍至,85
29,Torment,39785518,WPredator,85
30,Torment,39785518,Kouun,85
31,Torment,39785118,Nicky,85
32,Torment,39784078,TSHJ Lyum,85
33,Torment,39783998,LSP48,85
34,Torment,39783918,ARS|KING,85
35,Torment,39783438,Blu,85
36,Torment,39782958,ARS| 7Midway,85
37,Torment,39782878,Trihexa,85
38,Torment,39782798,awdse22,85
39,Torment,39782238,DY-1 Uto-chan,85
40,Torment,39782078,Arifar,85
41,Torment,39781918,ARSIExus,85
42,Torment,39781678,Aussinami,85
43,Torment,39781518,PelMajezty,85
44,Torment,39781278,Seia,85
45,Torment,39781278,Ahegao,85
46,Torment,39780318,SHENANIGANS,85
47,Torment,39780318,Halorial,85
48,Torment,39780158,cCIshingo,85
49,Torment,39751998,DeepDark,85
50,Torment,39745038,ヒ,85
51,Torment,39737998,Liat,85
52,Torment,39711278,|Catherina,85
53,Torment,39700958,Ulquiorra,85
54,Torment,39695438,Fate,85
55,Torment,39690718,Rinka,85
56,Torment,39686078,Gokoururi,85
57,Torment,39684398,Rei ,85
58,Torment,39666158,被格力果唱詩班論劍至,85
59,Torment,39653998,Chesed,85
60,Torment,39620638,Loszo,85
61,Torment,39619038,Quartz,85
62,Torment,39600318,GHC | Albion,85
63,Torment,39590078,蛋炒皈,85
64,Torment,39576158,杠杠,85
65,Torment,39576158,Ameth,85
66,Torment,39556158,โรห,85
67,Torment,39532318,Treble,85
68,Torment,39518318,GANGAN,85
69,Torment,39513038,Mehiru,85
70,Torment,39512318,Wooper,85
71,Torment,39500398,Hyro,85
72,Torment,39496638,haifh,85
73,Torment,39453518,LonelyIst,85
74,Torment,39446238,Hanamichi,85
75,Torment,39445358,TE,85
76,Torment,39378478,ENI9MA,85
77,Torment,39376398,Natchas,85
78,Torment,39372078,YYUD ,85
79,Torment,39363998,Okarin,85
80,Torment,39357118,Halcyon,85
81,Torment,39335997,Valentine,85
82,Torment,39318077,QtBoy,85
83,Torment,39310157,Devilfz,85
84,Torment,39303437,Zenorayya,85
85,Torment,39301757,アノニーメ,85
86,Torment,39288237,jqjqhqh,85
87,Torment,39283997,eMyx,85
88,Torment,39283037,เทพเส,85
89,Torment,39271757,|AKSpector,85
90,Torment,39264717,RealiableCh,85
91,Torment,39255277,???,85
92,Torment,39254637,Ekko,85
93,Torment,39253677,Fiani,85
94,Torment,39250877,Orbit,85
95,Torment,39250077,Slnwza,85
96,Torment,39246397,ChaosPlayerX,85
97,Torment,39244557,Ryl,85
98,Torment,39241997,โรห,85
